Title,Provider,Description,Deadline,Local_ScholarshipType,Overseas_ScholarshipType,Singaporean_Nationality,PR_Nationality,Foreigner_Nationality,Olvl_EducationLevel,JC_EducationLevel,Poly_EducationLevel,Uni_EducationLevel,Masters_EducationLevel,ITE_EducationLevel
<a href= https://brightsparks.com.sg/profile/dsta/dsta-scholarship.php?&schid=8207& >DSTA Scholarship</a>,Defence Science and Technology Agency (DSTA),Turn ideas into innovations and dreams into reality. With the DSTA Scholarship; you can look forward to a fulfilling and meaningful career at the forefront of science and technology. You will be entrusted to create the future of our nation’s defence and security; and grow in a collaborative and dynamic environment where innovation thrives.Upon graduation; there will be exciting opportunities to pursue a career in engineering; infocomm technology and cybersecurity where you can grow professionally and personally.,Deadline: 10 April 2020; Fri,T,T,T,T,F,F,T,T,T,F,F
BCA Local Undergraduate Scholarship - For 'A' Level and Diploma Holders (Main Cycle 2019),Building and Construction Authority (BCA),Building and Construction Authority (BCA) is offering young talents an opportunity to take up career as a professional in shaping a Safe; High Quality; Sustainable and Friendly Built environment. Value of Award & Bond Annual allowance; tuition fees and compulsory fees Other allowances (book; com...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
EDB Scholarship 2019,Economic Development Board (EDB),Scholarships The Talent We Seek: The EDB Scholarship is awarded to young talent who possess drive; initiative; resilience; creativity and who share our passion and commitment to our vision to lead Singapore into a knowledge-driven global economy. Throughout your scholarship journey; you will be give...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,T,F,F
HDB Undergraduate Scholarship,Housing & Development Board (HDB),The HDB Undergraduate Scholarship is offered to Singaporeans or Permanent Residents with excellent A-level; International Baccalaureate or Diploma (or equivalent) results and CCA records. Scholars will have to fulfil a bond period of 6 years for overseas scholarship or 4 years for local scholarship ...,Deadline: Closed for this cycle.,T,T,T,T,F,F,F,T,T,F,F
SNCF Co-operative Scholarship,Singapore National Co-operative Federation (SNCF),About SNCF Co-operative Scholarship The SNCF Co-op Scholarship attracts; develops and nurtures suitable talents to enter the ranks of the Co-operative Movement in Singapore. Co-operatives are self-help groups which operate viable businesses to meet the economic; social and cultural needs of its mem...,Deadline: Closed for this cycle.,T,F,T,T,F,F,F,T,T,F,F
Singapore-Industry Scholarship (SgIS) Full-Term,Singapore-Industry Scholarship (SgIS),Full-Term Scholarship for Studies in Singapore Singapore citizens who are about to embark on their full-time local undergraduate studies Eligibility for SgIS Full-Term Scholarship ï¿½ Singapore Citizens ï¿½ Good GCE ï¿½Aï¿½ Level; International Baccalaureate (IB); NUS High School Dipl...,Deadline: Closed for this cycle.,T,F,T,F,F,F,F,T,T,F,F
Singtel Group Undergraduate Scholarship,Singtel Group (Singtel),Undergraduate Scholarships The Singtel Undergraduate Scholarship (UGS) Programme is targeted at talent who possess the drive and passion to grow and develop into future business leaders. The programme runs across Singtel and with its regional associates in Thailand; the Philippines; and Indonesia. S...,Deadline: Closed for this cycle.,T,F,T,T,F,F,F,T,T,F,F
The SAF Scholarship,MINDEF Scholarship Centre (MSC),Second in prestige only to the President's Scholarship; The SAF Scholarship (formerly known as SAF Overseas Scholarship - SAFOS); is for those who see the honour in service and duty - the noble purpose of being there where it matters most. It provides excellent opportunities for personal and pr...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,T,F,F
PSC Scholarship (Engineering),MINDEF Scholarship Centre (MSC),The PSC Scholarship (Engineering) ï¿½ Defence and Security is launched starting from the 2017 scholarships exercise. PSC seeks to award the scholarship to students who have an interest to study and practise engineering in the public service and passion to use their skills to ensure that Singapor...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,T,F,F
Healthcare Merit Award/Scholarship (HMA/HMS),MOH Holdings Pte Ltd (MOHH),ABOUT THE HEALTHCARE MERIT AWARD (HMA) This is awarded to promising students with strong academic track records and a passion to pursue great careers in public healthcare. Healthcare Merit Scholarship (HMS) This is awarded to outstanding individuals who are passionate about Singaporeï¿½s public ...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,T,F,F
